Type;Ticket;Symbol;Lots;Buy/sell;Open price;Close price;Open time;Close time;Profit;Swap;Commission;T/P;S/L;Pips;Result;Trade duration (hours);Magic number;Order comment;MAE;MFE;FX Blue Live account
Closed position;67703632;EURCHF;0.09;Buy;1.50846;1.50936;2009/09/25 01:52:20;2009/09/25 03:42:07;7.85;0;0;1.51446;1.50418;9.0;Win;1.83;33333337;;-0.00059;0.0009;example
Closed position;68148097;EURUSD;0.18;Sell;1.46254;1.46152;2009/09/28 23:14:42;2009/09/28 23:38:43;18.36;0;0;1.45754;1.46957;10.2;Win;0.4;77777773;;-0.00009;0.00125;example
Closed position;68147205;EURGBP;0.18;Sell;0.92054;0.92052;2009/09/28 23:03:25;2009/09/29 01:36:05;0.57;0.11;0;0.91554;0.92772;0.2;Win;2.54;77777773;;-0.00038;0.00059;example
Closed position;68151599;EURCHF;0.09;Sell;1.50945;1.50942;2009/09/29 00:13:28;2009/09/29 02:43:21;0.26;0;0;1.50345;1.51388;0.3;Win;2.5;33333337;;-0.0008;0.00017;example
Closed position;68673745;EURCHF;0.09;Sell;1.51368;1.51362;2009/10/02 00:47:16;2009/10/02 02:10:03;0.52;0;0;1.50768;1.51809;0.6;Win;1.38;33333337;;-0.00045;0.0003;example
Closed position;68668892;EURGBP;0.18;Sell;0.91207;0.91316;2009/10/01 23:54:54;2009/10/02 02:54:59;-31.19;0.09;0;0.90707;0.91778;-10.9;Loss;3;77777773;;-0.00176;0.00031;example
Closed position;68672147;USDCHF;0.12;Sell;1.04154;1.04153;2009/10/02 00:39:01;2009/10/02 03:59:07;0.12;0;0;1.03554;1.04794;0.1;Win;3.34;33333337;;-0.00207;0.00084;example
Closed position;68669822;EURGBP;0.18;Sell;0.91218;0.91598;2009/10/02 00:05:30;2009/10/02 12:06:58;-108.66;0;0;0.90618;0.91848;-38.0;Loss;12.02;33333337;;-0.00559;0.00001;example
Closed position;68963652;USDCHF;0.12;Sell;1.03211;1.03168;2009/10/06 00:12:18;2009/10/06 01:40:05;5;0;0;1.02611;1.03851;4.3;Win;1.46;33333337;;-0.00011;0.00088;example
Closed position;68966731;EURCHF;0.08;Sell;1.5121;1.51204;2009/10/06 01:06:01;2009/10/06 03:12:39;0.47;0;0;1.5061;1.51644;0.6;Win;2.11;33333337;;-0.00045;0.00075;example
Closed position;68962748;EURGBP;0.18;Sell;0.91927;0.91925;2009/10/06 00:00:45;2009/10/06 09:36:48;0.58;0;0;0.91327;0.9257;0.2;Win;9.6;33333337;;-0.00309;0.00175;example
Closed position;69142604;EURCHF;0.09;Sell;1.51177;1.51174;2009/10/07 00:01:59;2009/10/07 01:14:14;0.27;0;0;1.50577;1.51614;0.3;Win;1.2;33333337;;-0.00019;0.00037;example
Closed position;69149286;EURCHF;0.09;Sell;1.51166;1.51223;2009/10/07 01:45:49;2009/10/07 06:45:54;-4.99;0;0;1.50566;1.51594;-5.7;Loss;5;33333337;;-0.00072;0.00018;example
Closed position;69327506;EURCHF;0.18;Sell;1.51757;1.51736;2009/10/08 00:07:30;2009/10/08 01:28:30;3.66;0;0;1.51157;1.52193;2.1;Win;1.35;33333337;;-0.00019;0.00041;example
Closed position;69334539;EURGBP;0.18;Sell;0.92111;0.92108;2009/10/08 01:31:56;2009/10/08 02:45:30;0.86;0;0;0.91611;0.92766;0.3;Win;1.23;77777773;;-0.00128;0.00066;example
Closed position;69336462;EURCHF;0.16;Sell;1.51758;1.51756;2009/10/08 01:49:23;2009/10/08 03:57:36;0.31;0;0;1.51158;1.52186;0.2;Win;2.14;33333337;;-0.00035;0.00037;example
